"carat","cut","color","clarity","depth","table","price","x","y","z"
0.34,"Ideal","F","VS2",62.9,55,880,4.48,4.46,2.81
1.51,"Ideal","F","SI2",62.6,55,9471,7.39,7.35,4.61
0.53,"Ideal","E","VS1",60.9,57,1700,5.19,5.25,3.18
0.54,"Very Good","G","VS1",61.6,54,1665,5.26,5.3,3.25
0.3,"Premium","G","VS1",62,60,776,4.28,4.23,2.64
0.8,"Very Good","F","SI2",61,60,2460,5.95,5.98,3.64
0.8,"Very Good","F","VS2",61.3,55,3954,5.93,6.01,3.66
0.32,"Ideal","F","VS2",62.2,55,645,4.35,4.37,2.71
1.08,"Premium","G","VS2",60.1,59,6532,6.7,6.64,4.01
0.35,"Ideal","E","VS1",61.9,56,851,4.53,4.55,2.81
0.35,"Ideal","E","VS1",61.9,56,1063,4.53,4.51,2.8
1.16,"Ideal","G","SI2",61.6,55,5695,6.74,6.77,4.16
1.25,"Premium","H","SI2",60.4,59,5950,7.02,6.95,4.22
1.02,"Premium","G","SI2",60.7,56,3904,6.56,6.51,3.97
0.76,"Good","I","SI1",64.1,59,2016,5.75,5.73,3.68
0.31,"Good","H","VS2",63.8,56,586,4.33,4.29,2.75
1,"Fair","G","VS1",64.9,65,4455,6.31,6.18,4.05
2.02,"Good","F","SI2",61.9,61,15261,8.06,8.02,4.98
0.31,"Ideal","G","VVS1",61.4,57,772,4.37,4.39,2.68
1.5,"Very Good","F","VS1",60.5,55,15585,7.39,7.48,4.5
1.54,"Premium","H","VS2",61.9,59,11769,7.33,7.31,4.53
0.9,"Very Good","H","SI2",64.1,59,3255,5.97,6.07,3.86
1.69,"Ideal","H","I1",62,56,6636,7.61,7.66,4.73
0.7,"Ideal","I","VVS1",61.8,56,2966,5.69,5.73,3.53
0.93,"Good","G","VS1",63.8,59,4425,6.21,6.15,3.94
2.02,"Premium","I","SI2",61.1,61,13991,8.11,8.08,4.95
0.52,"Ideal","F","VVS2",62.1,54,1978,5.17,5.2,3.22
0.55,"Premium","H","VS2",60.2,59,1387,5.36,5.24,3.19
1.5,"Very Good","E","SI1",61.4,59,11533,7.24,7.41,4.5
0.52,"Ideal","D","VS2",62.3,54,1822,5.14,5.19,3.22
1.25,"Premium","H","VS1",59.3,57,7560,7.11,7.05,4.2
0.57,"Ideal","H","VS1",61.3,55.1,1720,5.34,5.42,3.29
1.01,"Ideal","D","VS2",59.8,56,7127,6.52,6.49,3.89
0.53,"Ideal","G","VS1",62.6,54,1721,5.16,5.19,3.24
1.19,"Premium","G","SI2",58.9,60,4758,7,6.92,4.09
0.62,"Premium","E","SI2",58.6,58,1291,5.58,5.52,3.25
0.32,"Ideal","G","VVS1",61.3,55,733,4.46,4.38,2.71
2.02,"Premium","I","SI2",58,58,13117,8.34,8.25,4.81
0.47,"Premium","G","VS2",61.8,60,1102,4.98,4.95,3.07
0.37,"Ideal","G","IF",62.4,56,1033,4.6,4.64,2.88
0.27,"Ideal","H","VVS2",61.9,55,496,4.14,4.16,2.57
1.42,"Ideal","F","VVS1",60.8,56,18682,7.25,7.32,4.43
1.75,"Good","I","VS1",58.3,59,13047,7.92,7.97,4.63
0.52,"Premium","E","SI2",61.8,54,1229,5.18,5.15,3.19
1.13,"Premium","J","SI2",59.7,59,4093,6.85,6.76,4.06
0.32,"Ideal","I","VS2",62.5,55,576,4.4,4.37,2.74
0.57,"Ideal","E","VS1",62,55,2177,5.31,5.34,3.3
0.41,"Premium","F","VVS2",60.4,58,1192,4.84,4.8,2.91
0.41,"Premium","I","VVS2",62.9,58,1061,4.74,4.71,2.97
0.37,"Ideal","I","VS2",61.5,56,537,4.6,4.63,2.84
0.34,"Very Good","I","SI1",59.2,61,447,4.57,4.58,2.71
0.3,"Ideal","H","VVS2",60.4,56,776,4.36,4.32,2.62
0.32,"Ideal","E","IF",61.9,55,1018,4.38,4.41,2.72
1.5,"Good","J","VVS2",63.3,57,8276,7.25,7.28,4.6
0.54,"Ideal","G","VVS2",60.6,56,1985,5.26,5.27,3.19
2.03,"Very Good","I","SI1",62.3,60,16392,8.01,8.07,5.01
0.32,"Ideal","I","VS2",63,57,576,4.37,4.33,2.74
0.3,"Ideal","F","VS2",62.3,57,776,4.33,4.3,2.69
0.33,"Ideal","E","SI1",62.4,56,579,4.41,4.43,2.76
0.61,"Very Good","E","IF",61.7,58,3337,5.39,5.47,3.35
0.71,"Ideal","D","VS2",63,56,3245,5.69,5.65,3.58
0.32,"Premium","H","VS1",62.4,58,720,4.4,4.35,2.73
0.72,"Ideal","G","SI2",60.8,57,2449,5.79,5.82,3.52
1.52,"Very Good","I","SI2",59.8,62,7866,7.41,7.47,4.45
0.71,"Very Good","F","VVS1",63.3,58,3104,5.67,5.64,3.58
2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95
0.93,"Premium","E","SI1",62.8,56,4739,6.26,6.2,3.91
1.05,"Premium","H","SI1",60.2,62,5139,6.57,6.52,3.94
1,"Very Good","E","SI2",63,54,4630,6.33,6.37,4
1,"Premium","F","VS1",62.6,58,7244,6.4,6.37,4
0.36,"Premium","D","SI2",61.5,60,689,4.6,4.54,2.81
1.01,"Ideal","H","VS1",62.6,57,5777,6.37,6.4,4
0.32,"Premium","I","IF",60.3,58,673,4.41,4.45,2.67
1.01,"Good","F","VS1",63.3,60,6999,6.32,6.35,4.01
1.22,"Very Good","I","VS1",62.9,53.8,6763,6.79,6.83,4.29
0.32,"Good","D","SI1",63.7,55,706,4.33,4.31,2.75
0.4,"Very Good","J","VS1",63.5,56,756,4.7,4.69,2.98
1.06,"Ideal","H","VS2",62.4,57,4416,6.54,6.48,4.06
0.31,"Premium","F","VS2",61.7,58,625,4.34,4.38,2.69
0.51,"Ideal","E","VVS2",62.8,56,2211,5.13,5.15,3.23
2.1,"Very Good","H","SI2",63,57,16479,8.08,8.13,5.11
0.27,"Very Good","G","IF",60.8,57,566,4.2,4.22,2.56
0.3,"Premium","E","VVS2",60.1,59,1013,4.37,4.32,2.61
0.23,"Very Good","F","VVS2",61.3,60,465,3.98,4.01,2.45
0.77,"Ideal","G","SI1",61.5,56,3253,5.89,5.92,3.63
0.71,"Ideal","F","VS1",61.7,55,3041,5.73,5.77,3.55
0.3,"Ideal","G","VS1",60.9,57,624,4.34,4.36,2.65
0.7,"Ideal","F","VS1",61.6,57,2998,5.7,5.73,3.52
0.33,"Ideal","I","VS1",61.7,55,573,4.44,4.47,2.75
0.63,"Very Good","D","IF",59.6,59,4800,5.55,5.59,3.32
1.06,"Very Good","G","SI1",61.3,60,5435,6.53,6.55,4.01
0.4,"Premium","D","SI2",61.7,58,855,4.74,4.69,2.91
0.32,"Very Good","G","VVS2",62,55,730,4.39,4.42,2.73
0.9,"Very Good","E","SI1",63.5,55,3508,6.22,6.12,3.92
0.31,"Premium","F","VS2",62.3,59,625,4.3,4.33,2.69
0.71,"Very Good","I","VS2",59.5,57,2111,5.85,5.88,3.49
0.9,"Very Good","G","VS2",63.2,58,4531,6.11,6.17,3.88
0.34,"Ideal","F","SI2",61.9,57,438,4.5,4.52,2.79
0.6,"Ideal","G","VVS1",62,55.5,2524,5.37,5.42,3.35
0.39,"Ideal","E","IF",61.1,57,1333,4.73,4.76,2.9
1.29,"Premium","I","SI2",61.1,62,4291,7,6.94,4.26
0.42,"Very Good","F","VS2",61.7,59,884,4.75,4.82,2.95
0.4,"Very Good","F","VS1",60.4,61,982,4.74,4.77,2.87
0.32,"Ideal","F","VS2",62.6,57,707,4.41,4.37,2.75
0.72,"Ideal","F","VS1",62,56,2879,5.76,5.73,3.56
2.01,"Fair","D","SI2",66.9,57,16086,7.87,7.76,5.23
0.79,"Very Good","I","SI1",63.3,57,2095,5.86,5.83,3.7
0.5,"Very Good","E","SI1",61.1,55,1337,5.1,5.15,3.13
0.3,"Ideal","G","VS1",61.4,57,776,4.34,4.29,2.65
0.55,"Ideal","G","SI1",61.7,58,1417,5.27,5.29,3.26
0.9,"Very Good","D","SI2",61,61,3371,6.15,6.17,3.76
0.81,"Very Good","H","VS1",63.6,57,3104,5.87,5.9,3.74
0.43,"Very Good","I","SI2",61.5,54,691,4.86,4.89,3
1.51,"Ideal","H","VS2",64.2,59,10959,7.22,7.16,4.62
1.2,"Premium","H","VS2",62.5,58,6416,6.77,6.73,4.23
0.71,"Ideal","H","VS1",62.4,56,2559,5.66,5.71,3.55
1.01,"Premium","E","SI1",62.4,58,4480,6.42,6.37,3.99
1,"Good","F","SI1",62.5,57,4504,6.28,6.39,3.96
0.52,"Ideal","G","VVS2",62.1,56,2012,5.17,5.14,3.2
0.71,"Very Good","G","VVS2",60.8,58,2977,5.75,5.77,3.5
0.71,"Good","F","SI1",57.9,53,2300,5.84,5.8,3.37
0.4,"Ideal","E","SI1",62.2,55,945,4.75,4.71,2.94
0.41,"Premium","E","VS2",59.8,60,935,4.83,4.87,2.9
0.36,"Ideal","G","VS1",62.3,57,869,4.57,4.55,2.84
0.54,"Ideal","F","VVS2",62.3,53.7,2334,5.22,5.26,3.26
0.34,"Ideal","H","VS1",62.7,55,765,4.51,4.48,2.82
0.9,"Premium","F","SI1",63,60,4158,6.13,6.09,3.85
0.7,"Premium","F","SI2",62.6,58,2075,5.64,5.6,3.52
0.72,"Premium","D","SI1",62.6,54,3048,5.78,5.72,3.6
0.55,"Ideal","I","VVS1",61.6,55,1916,5.26,5.3,3.25
0.35,"Ideal","D","VS2",62.5,56,790,4.51,4.55,2.83
0.39,"Ideal","H","IF",61.9,55.6,1039,4.68,4.7,2.91
0.7,"Very Good","D","VVS2",61.1,57,3622,5.7,5.75,3.5
1.03,"Very Good","H","SI1",61.1,59,4520,6.5,6.56,3.99
0.24,"Very Good","F","VVS2",61.7,56,608,3.98,4,2.45
0.5,"Very Good","E","SI1",62.4,58,1090,5.06,5.01,3.14
0.32,"Ideal","G","VVS1",61.9,55,814,4.43,4.46,2.75
0.3,"Premium","F","VS1",59.8,60,799,4.39,4.31,2.6
0.43,"Good","J","SI2",63.7,57,490,4.76,4.79,3.04
1.09,"Ideal","F","VVS2",62.1,56,10246,6.55,6.59,4.08
1.46,"Very Good","I","SI1",62.5,57,7146,7.15,7.19,4.48
0.3,"Premium","F","VS2",60.4,58,776,4.33,4.31,2.61
0.32,"Premium","F","VS2",59.5,60,773,4.48,4.46,2.66
1.13,"Premium","J","SI2",62.4,59,3987,6.68,6.62,4.15
0.32,"Premium","H","VS1",60.6,60,720,4.44,4.4,2.68
0.48,"Very Good","D","IF",60.6,55,2677,5.08,5.12,3.09
0.51,"Very Good","E","SI2",60.7,56,1104,5.17,5.21,3.15
0.72,"Premium","G","SI1",60.8,58,2318,5.8,5.74,3.51
1.01,"Good","E","SI1",64.1,59,4399,6.31,6.35,4.06
0.37,"Very Good","G","VS1",61.5,58,746,4.57,4.6,2.82
0.27,"Very Good","G","VVS2",62.4,56,504,4.13,4.16,2.58
2.01,"Very Good","I","SI2",61.4,63,9781,8.19,7.96,4.96
0.3,"Premium","G","VVS2",62,60,684,4.25,4.33,2.66
1.26,"Premium","J","VS2",62,60,5173,7,6.86,4.3
1,"Fair","H","SI2",65.2,54,2912,6.3,6.22,4.08
0.9,"Premium","H","VS2",60.7,58,4082,6.21,6.17,3.76
0.39,"Very Good","F","VVS2",61.7,56,965,4.7,4.74,2.91
0.28,"Ideal","F","VVS2",62.2,53,787,4.22,4.23,2.63
0.24,"Ideal","H","IF",62.1,57,504,4,4.04,2.5
1,"Very Good","F","SI1",63.4,61,4939,6.35,6.29,4.01
0.95,"Ideal","H","SI1",61.9,56,4508,6.29,6.35,3.91
1.01,"Ideal","I","VS1",62.9,56,4118,6.43,6.38,4.03
1.2,"Ideal","H","SI2",61,57,5610,6.84,6.9,4.19
1.12,"Ideal","E","SI1",61.6,55,6458,6.69,6.66,4.11
1,"Very Good","E","SI1",61.7,57,5239,6.34,6.47,3.95
1.12,"Premium","H","SI2",62.1,56,4014,6.7,6.65,4.14
1.52,"Ideal","H","VVS2",61.8,58,12123,7.41,7.35,4.56
0.73,"Ideal","E","SI2",59.9,57,2059,5.87,5.82,3.5
0.77,"Good","G","VS1",59.4,64,2788,5.97,5.92,3.53
0.8,"Premium","E","VS2",63,56,3494,5.91,5.84,3.7
1.01,"Very Good","E","VS1",63.4,58,7366,6.38,6.36,4.04
0.79,"Ideal","D","SI1",61.2,56,3242,5.95,6.02,3.66
0.71,"Premium","F","SI1",59.8,61,2633,5.81,5.79,3.47
0.7,"Ideal","G","VVS1",60.7,57,3303,5.73,5.76,3.49
0.33,"Premium","E","VS2",60.6,60,723,4.43,4.48,2.7
0.56,"Premium","D","SI1",61,60,1605,5.28,5.25,3.21
0.4,"Very Good","E","SI1",60.9,56,737,4.76,4.8,2.91
0.7,"Ideal","G","VVS2",61.6,57,3725,5.74,5.71,3.53
0.9,"Very Good","D","SI1",62.4,61,4693,6.13,6.17,3.84
0.31,"Ideal","G","VVS2",61.7,54,707,4.34,4.38,2.69
1.15,"Very Good","H","VS1",62.5,56,7040,6.65,6.72,4.18
1.01,"Premium","H","SI2",60.7,58,3790,6.52,6.49,3.95
1.91,"Fair","H","SI2",64.6,56,6632,7.76,7.7,4.99
1.51,"Premium","I","VVS1",61,61,10824,7.47,7.34,4.52
1.7,"Premium","H","SI2",62.1,56,7673,7.66,7.55,4.72
0.3,"Very Good","I","SI1",61.6,59,394,4.29,4.34,2.66
0.71,"Ideal","D","VS1",62.1,57,3801,5.7,5.73,3.55
1.01,"Premium","G","SI2",61.9,59,4327,6.46,6.39,3.98
2.01,"Fair","I","VS2",66.3,57,15729,7.79,7.74,5.15
0.32,"Premium","H","VS2",61,60,648,4.41,4.35,2.67
0.5,"Premium","F","VVS2",61.8,56,2160,5.15,5.11,3.17
2.06,"Ideal","I","SI2",62.4,55,14120,8.1,8.14,5.07
1.2,"Very Good","I","VVS2",59.9,55,6558,6.88,6.94,4.14
0.7,"Ideal","G","SI1",61,56,2480,5.77,5.8,3.53
0.28,"Very Good","F","VS1",61,59,487,4.18,4.24,2.57
1.5,"Premium","J","VVS2",61.5,60,8870,7.31,7.27,4.48
0.31,"Ideal","G","VVS1",60.8,56,772,4.41,4.43,2.69
1.11,"Premium","G","SI2",58.8,59,4692,6.8,6.76,3.99
0.3,"Premium","D","SI1",59.7,59,709,4.37,4.34,2.6
0.38,"Good","D","VS1",63.4,55,853,4.61,4.64,2.93
1.01,"Good","E","SI2",63.3,58,4149,6.29,6.35,4
0.75,"Ideal","H","VVS2",62,55.1,2992,5.83,5.85,3.62
0.72,"Ideal","E","VS1",62.1,54,3690,5.74,5.76,3.57
2,"Ideal","G","SI1",61.7,55,13675,8.11,8.07,4.99
0.35,"Premium","G","VS1",61.5,58,906,4.54,4.5,2.78
0.78,"Very Good","E","VS1",61.5,60,3898,5.86,5.92,3.62
1,"Premium","E","VS1",61.9,60,7392,6.44,6.41,3.98
0.47,"Very Good","G","SI1",62.8,56,1133,4.96,4.93,3.11
0.7,"Very Good","E","SI1",63.2,57,2518,5.63,5.61,3.55
0.34,"Ideal","F","VS2",62.1,55,880,4.51,4.47,2.79
0.39,"Fair","G","IF",57.1,61,1127,4.83,4.88,2.77
1.03,"Ideal","I","SI1",61.3,56,4078,6.49,6.53,3.99
1.05,"Very Good","F","VVS2",61.3,59,8537,6.48,6.56,4
0.49,"Fair","E","VVS2",65.5,58,1705,4.91,4.86,3.2
0.9,"Premium","H","VS2",62.8,58,3810,6.17,6.13,3.86
1.01,"Good","G","VS2",63.1,55,5199,6.36,6.38,4.02
0.5,"Ideal","G","VS2",62,57,1449,5.08,5.11,3.16
0.31,"Very Good","G","IF",61.6,55,924,4.38,4.42,2.71
0.41,"Premium","G","VS2",59.7,59,827,4.81,4.84,2.88
0.31,"Ideal","J","VS1",61.9,54.7,429,4.34,4.36,2.69
1.02,"Very Good","G","VS2",60.5,54,6058,6.48,6.57,3.95
2.03,"Premium","J","SI2",62.7,59,12531,8.08,8.02,5.05
0.31,"Ideal","F","VVS2",61.3,56,695,4.38,4.39,2.69
1.53,"Ideal","G","VS2",62.8,57,12907,7.48,7.43,4.63
1.29,"Good","J","VS2",58.2,61,5898,7.07,7.12,4.13
0.72,"Fair","G","VS2",64.6,55,2306,5.66,5.71,3.67
1.28,"Premium","I","VS2",62.5,61,6451,6.89,6.86,4.3
0.42,"Very Good","G","VVS2",58.5,63,1181,4.9,4.88,2.86
0.41,"Very Good","J","VVS1",60.1,58,775,4.79,4.83,2.89
1.08,"Premium","F","SI2",60.2,59,4488,6.65,6.6,3.99
0.33,"Ideal","E","SI1",61.5,55,532,4.46,4.49,2.75
0.7,"Premium","F","SI2",59.8,56,2184,5.78,5.73,3.44
1.02,"Premium","E","VS2",60.4,58,6397,6.51,6.47,3.92
0.56,"Premium","F","I1",62.6,60,953,5.3,5.15,3.27
1.06,"Premium","G","SI2",61.5,58,4571,6.6,6.54,4.04
1.2,"Ideal","G","VVS2",62.5,54.4,9785,6.75,6.82,4.24
2.02,"Good","I","SI2",61,62,12927,8.1,8.14,4.95
1.02,"Ideal","F","VS1",61,56,7654,6.54,6.5,3.98
0.35,"Ideal","E","VS1",61.1,55,773,4.56,4.58,2.79
1.48,"Premium","H","SI2",59.7,59,6216,7.46,7.42,4.44
0.9,"Very Good","D","SI1",61.1,63,4068,6.17,6.21,3.78
1.18,"Premium","I","VS1",62.1,58,5921,6.76,6.7,4.18
1.01,"Very Good","F","SI1",62.7,57,5174,6.32,6.38,3.98
0.65,"Ideal","D","VVS1",60.9,57,5052,5.58,5.61,3.41
1.5,"Premium","H","VS2",62.4,59,11194,7.32,7.29,4.56
0.3,"Ideal","D","VS1",62.2,56,835,4.31,4.27,2.67
0.37,"Premium","E","VS1",61.5,55,999,4.7,4.66,2.88
2,"Fair","H","I1",66.8,57,8064,7.81,7.72,5.19
0.71,"Good","E","SI1",65.9,57,2631,5.51,5.57,3.65
0.6,"Premium","D","SI1",61.5,52,1814,5.5,5.43,3.36
1.19,"Very Good","E","VS2",59.2,60,7152,6.93,6.95,4.11
0.38,"Premium","F","SI1",62,58,838,4.63,4.6,2.86
1.73,"Premium","J","SI1",61,59,9165,7.75,7.68,4.71
1.83,"Very Good","I","VS1",61.9,57,13587,7.85,7.91,4.88
0.57,"Ideal","E","VS1",61.3,57,2110,5.34,5.37,3.28
0.58,"Very Good","E","SI2",63.5,60,1265,5.24,5.28,3.34
0.41,"Ideal","F","SI1",61.2,58,764,4.76,4.81,2.93
0.93,"Very Good","F","SI2",63.5,58,3420,6.14,6.05,3.87
0.89,"Ideal","F","SI1",62.1,55,4127,6.15,6.18,3.83
0.6,"Ideal","E","VS1",61,56,2171,5.44,5.47,3.33
0.52,"Premium","G","VVS2",61.8,59,2012,5.16,5.13,3.18
1.06,"Good","H","SI1",57.2,60,4060,6.84,6.74,3.88
1,"Very Good","G","VS2",63.3,58,6048,6.39,6.27,4.01
0.75,"Premium","G","SI2",58.8,60,2070,5.99,5.89,3.49
1.06,"Ideal","H","VVS1",61.3,57,7193,6.55,6.53,4.01
1.07,"Ideal","G","VVS2",62.3,54,8145,6.54,6.56,4.08
1.15,"Premium","F","SI2",61.1,57,5120,6.82,6.77,4.15
0.3,"Premium","F","VS1",61.5,59,658,4.31,4.33,2.66
2.02,"Premium","E","SI2",59.8,58,17825,8.2,8.16,4.89
0.9,"Good","F","VS2",63.6,59,4234,6.11,6.06,3.87
0.5,"Ideal","G","VVS2",62.3,56,1935,5.09,5.05,3.16
0.9,"Good","I","VVS2",64.8,55,3718,6.04,6.15,3.95
0.4,"Ideal","H","VS1",61.8,56,807,4.74,4.78,2.94
1.01,"Good","H","SI1",63.4,58,4559,6.34,6.38,4.03
0.56,"Very Good","D","VS2",62.8,57,1963,5.25,5.29,3.31
1,"Ideal","E","SI1",61.6,57,5331,6.37,6.45,3.95
0.53,"Very Good","E","SI2",63,57,1174,5.13,5.16,3.24
1.1,"Ideal","F","VS1",61.7,57,8279,6.67,6.65,4.11
0.51,"Good","D","VS2",63.7,57,1549,5,5.05,3.2
0.42,"Premium","F","SI1",61.8,58,992,4.84,4.81,2.98
1.19,"Premium","I","SI1",62.2,58,4777,6.73,6.77,4.2
0.59,"Ideal","D","SI1",62.1,56,1684,5.36,5.4,3.34
0.5,"Ideal","H","VS1",61.9,54,1370,5.12,5.15,3.18
0.79,"Very Good","E","SI1",60.4,59,3077,5.97,5.99,3.61
1.54,"Premium","D","VS2",59.3,59,16736,7.54,7.61,4.49
0.4,"Good","G","VS2",63.5,56,807,4.68,4.7,2.98
1,"Very Good","E","SI2",63.3,55,4390,6.29,6.25,3.97
1.24,"Premium","F","SI1",61.6,59,7162,6.94,6.89,4.26
2.01,"Ideal","H","VS1",62.9,54,17838,8.01,7.96,5.02
0.23,"Very Good","D","VVS2",62.6,58,530,3.89,3.94,2.45
2.01,"Premium","J","VS2",61.5,60,13228,8.13,8.07,4.98
0.38,"Ideal","E","VVS2",61.9,57,1176,4.65,4.63,2.87
0.7,"Fair","I","VVS2",64.7,55,2117,5.62,5.51,3.6
0.31,"Good","G","VS1",63.7,56,802,4.3,4.27,2.73
0.38,"Ideal","H","VS1",61.1,55,721,4.68,4.72,2.87
0.35,"Premium","H","VVS2",62.7,58,906,4.5,4.46,2.81
0.39,"Premium","G","VS1",61.7,62,951,4.69,4.65,2.88
1.78,"Premium","H","SI2",59.1,60,11262,7.93,7.87,4.67
1,"Premium","G","VS1",61.2,58,6462,6.49,6.38,3.94
0.63,"Ideal","D","SI1",61.5,56,1964,5.52,5.53,3.4
0.52,"Very Good","E","SI1",61,61,1369,5.17,5.19,3.16
0.54,"Very Good","I","SI1",63.2,57,1135,5.17,5.21,3.28
1,"Very Good","D","SI2",59.4,60,4543,6.48,6.56,3.87
1.12,"Premium","H","SI1",61.6,59,5363,6.67,6.63,4.1
0.9,"Fair","H","VS2",65.5,57,3226,6.05,6.01,3.95
0.31,"Ideal","F","IF",62.1,55,979,4.34,4.35,2.7
1.06,"Very Good","G","SI2",63.4,61,4057,6.46,6.37,4.07
0.33,"Ideal","G","IF",61,56,946,4.48,4.5,2.74
0.34,"Premium","D","SI1",61.2,58,803,4.49,4.47,2.74
0.4,"Ideal","D","VS2",61.3,57,1050,4.77,4.75,2.92
0.24,"Very Good","F","VVS2",60.5,59,552,3.98,4.05,2.43
1.23,"Very Good","I","VS2",61.2,59,6826,6.84,6.81,4.18
0.9,"Good","E","SI1",58.1,64,3884,6.26,6.28,3.64
1.31,"Ideal","H","SI1",60.8,56,7519,7.12,7.08,4.32
0.43,"Ideal","G","SI1",61.3,55,917,4.88,4.9,3
1.5,"Premium","F","VS2",61.3,58,13506,7.36,7.31,4.5
0.81,"Very Good","G","SI2",62.9,56.9,2493,5.89,5.96,3.73
0.7,"Premium","F","SI1",62.1,58,2527,5.7,5.64,3.52
